Appendix.Fifty most dominant topics in the Dutch Song Database, by sum of weights (>= 0.1) and corresponding words;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Topic;Sum of weights;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight;Word;Weight
30;0,1796190876;nog;0,020545405; dog;0,012691706; lief;0,011885371; jk;0,011498331; er;0,010498476; ag;0,008450386; zoete;0,006466803; kind;0,005853989; trouw;0,005418568; zou;0,005176668; vrouw;0,004934768; er;0,004676740; nagt;0,004628360; og;0,004628360; vader;0,0045154736; leven;0,004354207; daarom;0,004176813; meisje;0,004047800; adieu;0,004015546; jonkman;0,003934913; mogt;0,003886533; jonge;0,003822026; liefde;0,003789772; kom;0,003757519; mee;0,003741392; heel;0,003709139; min;0,003693012; trouwen;0,003644632; man;0,0036446322; jn;0,003531745
31;0,1872205022;gods;0,021424579; christus;0,017404111; god;0,013372893; woord;0,009782422; zullen;0,009352425; hoort;0,007503440; moeten;0,006729446; heren;0,006256450; och;0,005632955; vrienden;0,005622205; klaar;0,005589955; worden;0,004923461; toch;0,004869711; alzo;0,004482714; horen;0,0044289646; mensen;0,004396715; fijn;0,004385965; geest;0,004289216; wereld;0,004278466; voort;0,004170967; waarheid;0,003988218; weg;0,003977468; broeders;0,003923719; zeid;0,003912969; paulus;0,003891469; woorden;0,003869969; vlees;0,003816219; mogen;0,003751720; komen;0,0036334709; weest;0,003558222
32;0,1342399466;prins;0,012347739; land;0,009886534; stad;0,008614217; vijand;0,005777574; graaf;0,005402136; god;0,005339563; waren;0,005089271; jn;0,004838979; held;0,004567829; kwamen;0,004505256; geweld;0,004088103; jck;0,003942099; bloed;0,003942099; holland;0,003796095; soldaten;0,0037335224; steden;0,003524946; schepen;0,003483230; tegen;0,003378942; volk;0,003337227; hoort;0,003253796; elk;0,003232938; paus;0,003212081; spaensche;0,003191223; kwam;0,003170365; komen;0,003128650; kloek;0,003128650; landen;0,003107792; veld;0,003086935; onzen;0,0030660771; menig;0,003066077
33;0,1769811708;zich;0,022554079; god;0,020503708; hert;0,016163756; vw;0,007073779; ren;0,006595359; er;0,006321977; zijns;0,006287804; gods;0,006253631; zelfs;0,005023408; dies;0,004784198; mens;0,004408297; lijck;0,004339951; uws;0,004271606; heil;0,004134914; kracht;0,0040665687; wiens;0,003998223; dij;0,003998223; thert;0,003895704; deuchdt;0,003861532; nood;0,003827359; aard;0,003793186; ach;0,003724840; oog;0,003622322; leven;0,003553976; doe;0,003417285; hoop;0,003417285; heen;0,003348939; endt;0,003348939; mensen;0,0032805932; lang;0,003109729
34;0,2048883612;jou;0,044047378; je;0,022211926; jij;0,013118647; meisje;0,009209116; ja;0,007934899; kom;0,007587385; lieve;0,006515884; och;0,006457965; meid;0,006168370; ien;0,005762938; zoete;0,005705019; zel;0,004749356; ei;0,004430801; mee;0,004372882; er;0,0043728823; jan;0,004228085; datje;0,004141206; besje;0,003909531; zie;0,003851612; mooi;0,003619936; ion;0,003590976; hei;0,003475138; zen;0,003359300; trijn;0,003301381; wilje;0,003243462; sou;0,003243462; mit;0,003156584; kees;0,003098665; weet;0,0030117865; hebje;0,003011787
35;0,1987462065;hun;0,041844804; god;0,019405002; zich;0,009990475; hart;0,007841747; hen;0,007199344; leven;0,006933522; gods;0,006867067; volk;0,006800611; zijne;0,006667700; heil;0,005626564; magt;0,005117072; naa;0,004674036; quaat;0,004674036; heren;0,004629732; zyn;0,0046075804; elk;0,004607580; hunne;0,004230999; ja;0,004208847; ene;0,004142392; zelf;0,004031633; eeuwig;0,003920874; recht;0,003876570; opdat;0,003655052; steeds;0,003566444; gunst;0,003433533; hemels;0,003433533; geven;0,003433533; dies;0,003300622; vromen;0,0030569524; vijands;0,002968345
36;0,1875707481;ziel;0,019277108; mijne;0,017730457; god;0,009974783; mijnen;0,008719529; woord;0,007890165; hert;0,007441860; ziele;0,006321098; hand;0,006287475; ogen;0,006197815; recht;0,006164192; nacht;0,006141776; licht;0,005951247; geest;0,005917624; wanneer;0,004998599; weg;0,0049425609; kom;0,004920146; vast;0,004841692; mijns;0,004707201; wet;0,004651163; mond;0,004628748; dies;0,004471841; leven;0,004427010; steeds;0,004393388; wegen;0,004158027; zonden;0,004023536; weet;0,003788176; zie;0,003743345; doe;0,003676100; gunst;0,0036648921; hulp;0,003519193
37;0,1624735110;mei;0,014878940; vruchten;0,010054556; groen;0,007957978; groene;0,007326751; vrucht;0,006672979; schone;0,006515172; bomen;0,006244646; winter;0,005996664; boom;0,005883944; land;0,005793769; tijd;0,005568330; bloemen;0,005139997; veld;0,005027278; onder;0,004801840; hof;0,0047567519; bloeien;0,004553857; groeien;0,004463682; zingen;0,004373506; zomer;0,004373506; boven;0,004305875; weder;0,004215700; elk;0,004125524; regen;0,004057893; kruid;0,004035349; water;0,003742279; lustig;0,003674647; gras;0,003652103; lof;0,003449209; zoeten;0,0034492087; brengt;0,003381577
38;0,1720072860;min;0,023111111; hart;0,011744991; liefde;0,010200364; nog;0,009078324; hert;0,008524590; ziel;0,008408015; leven;0,006309654; vreugd;0,005959927; ach;0,005493625; ogen;0,005231330; zie;0,005056466; zinnen;0,004852459; schone;0,004663024; wijl;0,004517304; mijne;0,0044735883; alleen;0,004284153; dog;0,004211293; zin;0,004109290; oog;0,004036430; zou;0,003992714; minnen;0,003599271; hemel;0,003570128; nimmer;0,003468124; lust;0,003424408; steeds;0,003395264; gemoed;0,003351548; smert;0,003293260; zig;0,003249545; word;0,0032058288; neen;0,003191257
39;0,2245800076;ach;0,020739095; min;0,020166508; lief;0,019307628; hert;0,016158400; liefde;0,010214949; ziel;0,008852192; minne;0,008245250; pijn;0,008073474; hart;0,007924602; leven;0,007535243; zin;0,007340563; maagd;0,006676362; zoete;0,006527490; trouw;0,006115227; minnen;0,0059090961; zinnen;0,005657158; sou;0,005393768; schone;0,005382316; smert;0,004718116; waarde;0,004637953; trouwe;0,004237143; waarom;0,004225691; beminde;0,004065367; liefd;0,003973753; vreugd;0,003836332; droeve;0,003824880; neen;0,003756170; vrouw;0,003710363; sterven;0,0036989109; verdriet;0,003676007
